"Add New Campaign","Ajouter une campagne"
"Author","Auteur"
"Start Date","Date de début"
"End Date","Date de fin"
"Draft","Brouillon"
"Published","Publiée"
"Complete","Archivée"
"Campaign Information","Information sur la campagne"
"Select the search terms for which you want the campaign to apply.","Sélectionnez les termes de recherche auxquels appliquer la campagne."
"Are you sure you want to stop %1 ?","Êtes-vous sur de vouloir arrêter %1 ?"
"Stop","Interrompre"
"You can't save or publish a campaign over a period with already a published campaign","Vous ne pouvez pas enregistrer ou publier une campagne sur une période où une campagne est publiée"
"End Date must follow Start Date.","La date de fin doit être définie après celle de début."
"Start and end date are mandatory.","Les dates de début et de fin sont obligatoires."
"End Date cannot be defined before the date of today.","La date de fin ne peut être définie avant la date d'aujourd'hui"
"Could not save the campaign: %1","Impossible de sauvegarder la campagne: %1"
"A campaign is actually published without start or end date. Please contact your technical support to fix this issue.","Une campagne est actuellement publiée sans date de début ou de fin. Veuillez contacter votre équipe technique pour corriger ce problème."
"AB Testing Campaign","Campagne AB Testing"
"Optimizer Campaign","Campagne d'optimiseurs"
"Campaigns","Campagnes"
"Campaign","Campagne"
"You saved the campaign %1.","Vous avez bien enregistré la campagne %1."
"Campaigns List","Liste des campagnes"
"This campaign no longer exists.","Cette campagne n'existe plus."
"New Campaign","Nouvelle campagne"
"Something went wrong while editing the campaign.","Une erreur est survenue lors de l'édition de la campagne."
"You stopped the campaign %1.","Vous avez bien interrompu la campagne %1."
"You deleted the campaign %1.","Vous avez bien supprimé la campagne %1."
"Reopen","Rouvrir"
"You can't stop this campaign","Vous ne pouvez pas interrompre cette campagne"
"You can't publish this campaign","Vous ne pouvez pas publier cette campagne"
"You can't reopen this campaign","Vous ne pouvez pas rouvrir cette campagne"
"Publish","Publier"
"Percentage","Pourcentage"
"Please enter a number between 0 and 100.","Veuillez entrer un nombre entre 0 et 100."
"An optimizer can't be linked to both scenarios.","Un optimiseur ne peut être lié aux deux scénarios."
"The percentage for scenario A should be between 0 and 100.","Le pourcentage défini pour le scénario A doit être compris entre 0 et 100."
"You reopened the campaign %1.","Vous avez bien réouvert la compagne %1."
"You published the campaign %1.","Vous avez bien publié la campagne %1."
"Scenarios","Scénarios"
"Scenario A","Scénario A",
"Scenario B","Scénario B"
"You saved no optimizer linked to the campaign %1.","Vous n'avez enregistré aucun optimiseur pour la campagne %1."
"You can edit an optimizer linked to a running campaign only on the campaign page.","Vous ne pouvez modifier un optimiseur lié à une campagne seulement sur la page d'édition de la campagne."
"Campaign Status","Statut de la campagne"
"Campaign Name","Nom de la campagne"
"Define an optimizer to test during the campaign in this scenario by creating a new one or by creating from an existing optimizer.","Définissez un optimiseur à tester durant la compagne sur ce scénario en en créant un nouveau ou en en créant à partir d'un optimiseur existant."
"Compare the previous scenario with this one by letting it empty or by adding a new optimizer.","Comparez le scénario précédent avec celui-ci en le laissant vide ou en lui ajoutant un nouveau optimiseur."
"Create new","Nouveau"
"Create from existing","Créer à partir de"
"Choose","Choisir"
"The scenario does not exist.","Ce scénario n'existe pas."
"There is no optimizers to publish.","Aucun optimiseur n'est à publier."
"An error occurs when trying to publish optimizers.","Une erreur s'est produite lors de la tentative de publication des optimiseurs."
"You published well optimizers from scenario %1","Vous avez bien publié les optimiseurs du scénatio %1"
"Edit and publish","Modifier et publier"
