"Views (total)","Vues (total)"
"Daily views (average)","Vues journalières (moyenne)"
"Daily views (number)","Vues journalières (glissant)"
"Weekly views (average)","Vues hebdomadaires (moyenne)"
"Weekly views (number)","Vues hebdomadaires (glissant)"
"Sales (total)","Ventes (total)"
"Daily sales (average)","Ventes journalières (moyenne)"
"Daily sales (number)","Ventes journalières (glissant)"
"Weekly sales (average)","Ventes hebdomadaires (moyenne)"
"Weekly sales (number)","Ventes hebdomadaires (glissant)"
"Based on behavioral data","Basé sur les données comportementales"
